indice	peso
0;0
1;-3
2;-3
3;-1
4;-1
5;5
6;-1
7;-1
8;1
9;-1
10;-1
11;-9
12;-1
13;-5
14;1
15;-3
16;-3
17;3
18;5
19;-1
20;-7
21;-1
22;3
23;-1
24;5
25;-5
26;7
27;-1
28;1
29;5
30;7
31;11
32;-1
33;-7
34;-1
35;-3
36;-9
37;1
38;-5
39;-7
40;-1
41;-7
42;9
43;-5
44;3
45;1
46;-3
47;-3
48;3
49;-3
50;7
51;-5
52;-3
53;3
54;-3
55;1
56;5
57;1
58;3
59;5
60;3
61;3
62;5
63;-1
64;-1
65;1
66;3
67;3
68;1
69;-5
70;-5
71;-1
72;7
73;-3
74;-3
75;3
76;-3
77;7
78;1
79;-5
80;-3
81;1
82;-7
83;-5
84;-7
85;-7
86;5
87;3
88;-1
89;-1
90;3
91;-1
92;-1
93;-3
94;-7
95;-7
96;7
97;3
98;-3
99;1
100;-7
101;1
102;-3
103;5
104;-3
105;3
106;7
107;-5
108;1
109;1
110;-1
111;-5
112;7
113;-5
114;7
115;-3
116;5
117;-1
118;1
119;-9
120;7
121;3
122;7
123;1
124;1
125;-1
126;5
127;-1
128;-1
129;1
130;3
131;1
132;1
133;3
134;5
135;3
136;1
137;1
138;-1
139;5
140;5
141;-3
142;-9
143;3
144;1
145;5
146;3
147;-9
148;7
149;1
150;1
151;-1
152;-1
153;1
154;-5
155;7
156;1
157;-3
158;-1
159;-3
160;3
161;13
162;1
163;-1
164;-3
165;-7
166;7
167;7
168;7
169;-1
170;1
171;3
172;-5
173;-1
174;-9
175;-1
176;-3
177;9
178;-3
179;3
180;5
181;-3
182;-5
183;-5
184;-1
185;3
186;-5
187;3
188;1
189;3
190;-3
191;1
192;3
193;3
194;1
195;-3
196;1
197;3
198;-3
199;3
200;-1
201;1
202;-1
203;3
204;-3
205;1
206;1
207;-1
208;-1
209;-5
210;-11
211;-7
212;-5
213;3
214;5
215;1
216;-5
217;5
218;5
219;3
220;1
221;-1
222;5
223;3
224;-1
225;-3
226;-1
227;-7
228;-1
229;1
230;-1
231;-7
232;1
233;-3
234;5
235;-5
236;-3
237;3
238;5
239;-3
240;-1
241;-5
242;3
243;-7
244;-1
245;-3
246;1
247;-1
248;9
249;1
250;5
251;13
252;-1
253;3
254;-5
255;5
256;-11
257;5
258;-1
259;1
260;5
261;-1
262;-7
263;-5
264;1
265;-3
266;-5
267;15
268;-3
269;1
270;-3
271;-3
272;1
273;-1
274;9
275;1
276;7
277;3
278;5
279;-5
280;3
281;-1
282;7
283;-1
284;-3
285;-3
286;1
287;3
288;-1
289;1
290;9
291;3
